"Gini"	"farm"	"Rent"	"Gnpr"	"Laboagr"	"Instab"	"ecks"	"Death"	"demo"
"Argentine"	86.3	98.2	32.9	374	25	13.6	57	217	2
"Australie"	92.9	99.6	14.6	1215	14	11.3	0	0	1
"Autriche"	74	97.4	10.7	532	32	12.8	4	0	2
"Belgique"	58.7	85.8	62.3	1015	10	15.5	8	1	1
"Bolivie"	93.8	97.7	20	66	72	15.3	53	663	3
"Bresil"	83.7	98.5	9.1	262	61	15.5	49	1	2
"Canada"	49.7	82.9	7.2	1667	12	11.3	22	0	1
"Chili"	93.8	99.7	13.4	180	30	14.2	21	2	2
"Colombie"	84.9	98.1	12.1	330	55	14.6	47	316	2
"Costa-Rica"	88.1	99.1	5.4	307	55	14.6	19	24	2
"Cuba"	79.2	97.8	53.8	361	42	13.6	100	2900	3
"Danemark"	45.8	79.3	3.5	913	23	14.6	0	0	1
"Rep.Dominic"	79.5	98.5	20.8	205	56	11.3	6	31	3
"Equateur"	86.4	99.3	14.6	204	53	15.1	41	18	3
"Egypte"	74	98.1	11.6	133	64	15.8	45	2	3
"Espagne"	78	99.5	43.7	254	50	0	22	1	3
"Etats-Unis"	70.5	95.4	20.4	2343	10	12.8	22	0	1
"Finiande"	59.9	86.3	2.4	941	46	15.6	4	0	2
"France"	58.3	86.1	26	1046	26	16.3	46	1	2
"Guatemala"	86	99.7	17	179	68	14.9	45	57	3
"Grece"	74.7	99.4	17.7	239	48	15.8	9	2	2
"Honduras"	75.5	97.4	16.7	137	66	13.6	45	111	3
"Inde"	52.2	86.9	53	72	71	3	83	14	1
"Irak"	88.1	99.3	75	195	81	16.2	24	344	3
"Irlande"	59.8	85.9	2.5	509	40	14.2	9	0	1
"Italie"	80.3	98	23.8	442	29	15.5	51	1	2
"Japon"	47	81.5	2.9	240	40	15.7	22	1	2
"Libye"	70	93	8.5	90	75	14.8	8	0	3
"Luxembourg"	63.8	87.7	18.8	1194	23	12.8	0	0	1
"Nicaragua"	75.7	96.4	8.5	254	68	12.8	16	116	3
"Norvege"	66.9	87.5	7.5	969	26	12.8	4	0	1
"Nile-Zelande"	77.3	95.5	22.3	1259	16	12.8	0	0	1
"Panama"	73.7	95	12.3	350	54	15.6	29	25	3
"Pays-Bas"	60.5	86.2	53.3	708	11	13.6	2	0	1
"P̩ru"	87.5	96.9	2.4	140	60	14.6	23	26	3
"Philippines"	56.4	88.2	37.3	201	59	14	15	292	3
"Pologne"	45	77.7	0	468	57	8.5	19	5	3
"RFA"	67.4	93	5.7	762	14	3	4	0	2
"Royaume-Uni"	71	93.4	44.5	998	5	13.6	12	0	1
"Salvador"	82.8	98.8	15.1	244	63	15.1	9	2	3
"Sud-Vietnam"	67.1	94.6	20	133	65	10	50	1000	3
"Suede"	57.7	87.2	18.9	1165	13	8.5	0	0	1
"Suisse"	49.8	81.5	18.9	1229	10	8.5	0	0	1
"Taiwan"	65.2	94.1	40	132	50	0	3	0	3
"Uruguay"	81.7	96.6	34.7	569	37	14.6	1	1	1
"Venezuela"	90	99.3	20.6	762	42	14.9	36	111	3
"Yougoslavie"	43.7	79.8	0	297	67	0	9	0	3
