Countries,Observation weights,PC1-PC2 inertia (%),PC2-PC3 inertia (%),PC1-PC3 inertia (%)
Argentine,0.022,66.61,52.52,66.92
Australie,0.022,81.66,81.48,12.91
Autriche,0.022,51.18,59.61,30.56
Belgique,0.022,64.47,58.55,75.29
Bolivie,0.022,89.84,9.62,89.91
Bresil,0.022,86.46,34.89,93.18
Canada,0.022,91.61,18.46,92.05
Chili,0.022,81.8,52.24,65.01
Colombie,0.022,87.85,24.58,90.5
Costa-Rica,0.022,81.2,51.18,89.4
Cuba,0,35.08,28.64,44.98
Danemark,0.022,87.43,43,95.96
Rep.Dominic,0.022,66.07,9.73,66.24
Equateur,0.022,94.24,26.62,94.96
Egypte,0.022,84.1,41.24,90.15
Espagne,0.022,37.66,82.24,78.69
Etats-Unis,0.022,83.61,65.59,53.46
Finiande,0.022,62.28,69.48,93.29
France,0.022,54.6,16.39,52.54
Guatemala,0.022,96.3,15.37,97.47
Grece,0.022,67.98,40.91,67.95
Honduras,0.022,94.34,36.21,89.87
Inde,0.022,71.63,88.59,53.75
Irak,0.022,62.96,52.6,81.63
Irlande,0.022,64.92,76.08,91.96
Italie,0.022,71.31,46.68,55.08
Japon,0.022,67.02,72.2,73.19
Libye,0.022,62.5,70.35,70.67
Luxembourg,0.022,97.69,36.62,91.14
Nicaragua,0.022,75.78,55.02,81.77
Norvege,0.022,88.77,47.75,93.91
Nile-Zelande,0.022,94.18,82.77,48.57
Panama,0.022,71.46,62.17,94.68
Pays-Bas,0.022,64.24,54.79,78.68
P̩ru,0.022,78.11,53.04,94.37
Philippines,0.022,55.99,58.4,18.02
Pologne,0.022,93.69,80.88,65.84
RFA,0.022,55.66,18.1,57.77
Royaume-Uni,0.022,79.94,84.43,70.03
Salvador,0.022,78.1,33.88,83.14
Sud-Vietnam,0.022,70.04,53.78,46.82
Suede,0.022,96.4,17.97,96.8
Suisse,0.022,99.4,8.16,99.6
Taiwan,0.022,52.92,83.58,65.78
Uruguay,0.022,70.55,74.07,39.85
Venezuela,0.022,93.13,66.51,65.2
Yougoslavie,0.022,94.4,83.32,44.95
